Model,Scenario,Region,Variable,Unit,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2025,2030,2035,2040,2045,2050,
reference,CEDS,EU27,Emissions|CH4|AFOLU|Agriculture,Mt CH4/yr,8.7098,8.6644,8.7218,8.6384,8.5975,8.4367,8.3741,8.3171,8.3281,8.4246,8.4968,8.5129,8.5291,8.4683,8.4683,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,CEDS,EU27 & UK,Emissions|CH4|AFOLU|Agriculture,Mt CH4/yr,9.7825,9.7181,9.7654,9.651,9.5988,9.4436,9.3764,9.3162,9.3282,9.4439,9.5205,9.5364,9.5565,9.4833,9.4833,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,CEDS,EU27,Emissions|CH4|Waste,Mt CH4/yr,7.3964,7.6675,7.601,7.2298,6.5442,7.2116,7.2312,6.8734,6.4427,6.2922,6.1404,6.1412,6.1424,6.1437,6.1445,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,CEDS,EU27 & UK,Emissions|CH4|Waste,Mt CH4/yr,10.6622,11.1518,11.0271,10.2572,9.0112,9.7014,9.9214,9.5187,9.0325,8.8698,8.8595,8.877,8.895,8.9131,8.9306,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,CEDS,EU27,Emissions|CO2|Energy|Demand|Bunkers,Mt CO2/yr,160.9194,172.609,182.8338,190.2729,166.5455,160.9507,175.5369,165.2276,164.9719,167.7558,175.4104,182.9739,190.2198,191.5945,190.5267,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,CEDS,EU27 & UK,Emissions|CO2|Energy|Demand|Bunkers,Mt CO2/yr,165.7957,177.8396,188.3743,196.0388,171.5924,165.828,180.8562,170.2345,169.9711,172.8393,180.7259,188.5186,195.9841,197.4004,196.3002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,CEDS,EU27,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,511.376,493.6932,491.9473,470.4136,399.6883,419.7593,413.0913,395.7469,387.6025,373.1715,369.9448,369.7786,376.0086,370.7374,367.7822,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,CEDS,EU27 & UK,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,571.2447,551.573,548.709,525.8226,444.9438,466.6794,455.5012,438.8963,431.2163,416.0757,411.8231,409.9894,416.1159,409.8978,405.7303,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,CEDS,EU27,Emissions|CO2|Energy|Demand|Residential and Commercial,Mt CO2/yr,553.9951,549.5445,475.1573,515.7129,504.254,530.3139,464.943,475.3428,485.7167,414.8048,438.6467,449.3738,445.4276,437.1296,442.0362,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,CEDS,EU27 & UK,Emissions|CO2|Energy|Demand|Residential and Commercial,Mt CO2/yr,650.8161,642.3307,563.7992,608.9775,592.8097,629.3497,544.9116,563.2907,574.8118,490.3236,517.9694,532.0416,524.7656,516.5684,520.6237,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,CEDS,EU27,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,848.0464,859.1032,867.9835,849.3647,823.0673,818.1503,810.4814,782.5945,778.1861,788.1221,804.4792,825.8454,842.4266,842.6792,843.5122,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,CEDS,EU27 & UK,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,974.8614,987.493,997.1634,971.7141,941.0356,934.7621,925.5527,897.2665,891.8025,903.3049,922.8658,947.0241,963.9134,962.4196,960.7802,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,CEDS,EU27,Emissions|CO2|Energy|Supply,Mt CO2/yr,1376.7626,1405.8461,1419.7097,1346.4826,1238.7017,1270.0669,1260.0497,1237.5471,1183.7467,1114.936,1132.0324,1114.2508,1119.7846,1084.6048,987.2607,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,CEDS,EU27 & UK,Emissions|CO2|Energy|Supply,Mt CO2/yr,1612.5779,1646.4329,1655.8698,1577.4056,1443.5257,1480.9044,1455.678,1445.6937,1377.9415,1282.5172,1278.646,1233.5592,1228.4033,1189.7295,1089.1926,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,CEDS,EU27,Emissions|CO2|Industrial Processes,Mt CO2/yr,245.1417,246.9472,249.6009,234.3852,185.5226,202.105,200.7007,189.0491,185.4895,190.1416,190.244,191.8352,198.1412,197.2773,197.3608,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,CEDS,EU27 & UK,Emissions|CO2|Industrial Processes,Mt CO2/yr,263.8628,264.7045,268.9021,252.0389,198.0934,216.0046,213.4638,201.9139,200.1145,204.3966,204.1805,203.9796,210.6617,208.9974,209.1324,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,CEDS,EU27,Emissions|CO2|Industry and Industrial Processes,Mt CO2/yr,511.376,493.6932,491.9473,470.4136,399.6883,419.7593,413.0913,395.7469,387.6025,373.1715,369.9448,369.7786,376.0086,370.7374,367.7822,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,CEDS,EU27 & UK,Emissions|CO2|Industry and Industrial Processes,Mt CO2/yr,571.2447,551.573,548.709,525.8226,444.9438,466.6794,455.5012,438.8963,431.2163,416.0757,411.8231,409.9894,416.1159,409.8978,405.7303,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,CEDS,EU27,Emissions|Kyoto Gases|AFOLU|Agriculture,Mt CO2e/yr,363.3724,361.1627,366.2924,359.1935,353.9647,353.4999,349.8902,349.4424,351.4184,355.4503,357.5655,358.0086,358.4688,356.6882,356.6883,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,CEDS,EU27 & UK,Emissions|Kyoto Gases|AFOLU|Agriculture,Mt CO2e/yr,406.684,403.8791,408.5507,399.9474,394.8921,394.647,390.6864,390.1164,392.5069,397.0397,399.2712,399.7235,400.2881,398.1487,398.1488,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,CEDS,EU27,Emissions|Kyoto Gases|Energy,Mt CO2e/yr,3435.3461,3447.4543,3387.5049,3313.9597,3090.6875,3164.4656,3069.7704,3011.7739,2953.0493,2801.4225,2856.4116,2869.9054,2894.6239,2842.3586,2742.9378,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,CEDS,EU27 & UK,Emissions|Kyoto Gases|Energy,Mt CO2e/yr,3975.3683,3986.4847,3916.7051,3833.6857,3564.4041,3654.9859,3518.4834,3481.3126,3407.7407,3215.6555,3254.9698,3244.5346,3255.1703,3196.6413,3089.2098,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,CEDS,EU27,Emissions|Kyoto Gases|Industrial Processes,Mt CO2e/yr,308.8431,303.1817,305.0648,279.9365,229.2937,230.7585,225.648,212.4232,206.6895,210.9767,211.1601,212.0278,218.8287,217.1716,217.2926,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,CEDS,EU27 & UK,Emissions|Kyoto Gases|Industrial Processes,Mt CO2e/yr,332.4536,325.3322,329.0922,302.0234,244.9624,247.8576,240.71,227.395,223.3755,227.3069,227.1031,226.2087,233.4076,230.9176,231.1022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,CEDS,EU27,Emissions|Kyoto Gases|Waste,Mt CO2e/yr,220.0957,227.7337,226.0721,215.7318,196.6087,215.4653,216.0059,206.0779,193.9882,189.7851,185.6443,185.6786,185.7235,185.7701,185.8028,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,CEDS,EU27 & UK,Emissions|Kyoto Gases|Waste,Mt CO2e/yr,313.13,326.9319,323.6782,302.1705,267.396,286.9394,293.118,281.9317,268.3038,263.7941,263.6337,264.1441,264.6707,265.2008,265.7124,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,CEDS,EU27,Emissions|N2O|AFOLU|Agriculture,kt N2O/yr,450.9314,447.3959,460.6849,442.7097,427.2992,442.5371,435.5291,439.8662,446.1603,451.1783,451.5296,451.4998,451.5223,451.2254,451.2254,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,CEDS,EU27 & UK,Emissions|N2O|AFOLU|Agriculture,kt N2O/yr,501.0325,497.2557,509.8812,489.5021,475.9475,491.4148,483.5786,487.7887,495.5335,500.4158,500.7413,500.7754,500.7748,500.4351,500.4351,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,CEDS,EU27,Emissions|N2O|Waste,kt N2O/yr,47.1977,47.7174,48.4835,48.7566,49.0578,49.706,49.7146,50.0547,49.9836,50.0412,50.4563,50.4947,50.5353,50.5757,50.6116,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,CEDS,EU27 & UK,Emissions|N2O|Waste,kt N2O/yr,53.0249,53.7142,54.6336,54.8795,55.3348,56.1581,56.2729,56.6154,56.6081,56.7968,57.2753,57.3551,57.4377,57.5202,57.5978,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,CEDS,EU27,Gross Emissions|CO2|Industrial Processes,Mt CO2/yr,245.1417,246.9472,249.6009,234.3852,185.5226,202.105,200.7007,189.0491,185.4895,190.1416,190.244,191.8352,198.1412,197.2773,197.3608,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,CEDS,EU27 & UK,Gross Emissions|CO2|Industrial Processes,Mt CO2/yr,263.8628,264.7045,268.9021,252.0389,198.0934,216.0046,213.4638,201.9139,200.1145,204.3966,204.1805,203.9796,210.6617,208.9974,209.1324,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
